model_path,accuracy,loss
E:/PRODUCE/aire/st/work/model/MobileNetV2\0.pdparams,0.787012987012987,[0.3585044741630554]
E:/PRODUCE/aire/st/work/model/MobileNetV2\10.pdparams,0.6987012987012987,[0.3559282422065735]
E:/PRODUCE/aire/st/work/model/MobileNetV2\15.pdparams,0.8207792207792208,[0.39344722032546997]
E:/PRODUCE/aire/st/work/model/MobileNetV2\20.pdparams,0.7324675324675325,[0.35600072145462036]
E:/PRODUCE/aire/st/work/model/MobileNetV2\25.pdparams,0.7948051948051948,[0.3558603525161743]
E:/PRODUCE/aire/st/work/model/MobileNetV2\30.pdparams,0.7298701298701299,[0.4414113461971283]
E:/PRODUCE/aire/st/work/model/MobileNetV2\35.pdparams,0.9090909090909091,[0.3961728811264038]
E:/PRODUCE/aire/st/work/model/MobileNetV2\40.pdparams,0.8207792207792208,[0.35029250383377075]
E:/PRODUCE/aire/st/work/model/MobileNetV2\45.pdparams,0.7584415584415585,[0.34974080324172974]
E:/PRODUCE/aire/st/work/model/MobileNetV2\49.pdparams,0.7740259740259741,[0.6363763809204102]
E:/PRODUCE/aire/st/work/model/MobileNetV2\5.pdparams,0.825974025974026,[0.3985831141471863]
E:/PRODUCE/aire/st/work/model/MobileNetV2\50.pdparams,0.8207792207792208,[0.3523062765598297]
E:/PRODUCE/aire/st/work/model/MobileNetV2\55.pdparams,0.7168831168831169,[0.399565726518631]
E:/PRODUCE/aire/st/work/model/MobileNetV2\60.pdparams,0.8207792207792208,[0.3784852623939514]
E:/PRODUCE/aire/st/work/model/MobileNetV2\65.pdparams,0.8233766233766234,[0.35358065366744995]
E:/PRODUCE/aire/st/work/model/MobileNetV2\70.pdparams,0.8363636363636363,[0.46534502506256104]
E:/PRODUCE/aire/st/work/model/MobileNetV2\75.pdparams,0.8909090909090909,[0.3497718572616577]
E:/PRODUCE/aire/st/work/model/MobileNetV2\80.pdparams,0.7064935064935065,[0.35328078269958496]
E:/PRODUCE/aire/st/work/model/MobileNetV2\85.pdparams,0.8103896103896104,[0.35717034339904785]
E:/PRODUCE/aire/st/work/model/MobileNetV2\90.pdparams,0.6961038961038961,[0.3583982586860657]
E:/PRODUCE/aire/st/work/model/MobileNetV2\95.pdparams,0.787012987012987,[0.36945077776908875]
E:/PRODUCE/aire/st/work/model/MobileNetV2\best_model.pdparams,0.8207792207792208,[0.5472372174263]
E:/PRODUCE/aire/st/work/model/MobileNetV2\best_model2.pdparams,0.7922077922077922,[0.574103057384491]
E:/PRODUCE/aire/st/work/model/MobileNetV2\b_36.pdparams,0.8,[0.7285117506980896]
E:/PRODUCE/aire/st/work/model/MobileNetV2\b_39.pdparams,0.812987012987013,[0.674540638923645]
E:/PRODUCE/aire/st/work/model/MobileNetV2\final.pdparams,0.7688311688311689,[0.5105414390563965]
