epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.813,1.2866,2.68042,1.40013,0.28729,0.26836,0.28984,0.16114,1.34898,2.24697,1.44996,0.0701676,0.00331471,0.00331471
2,202.72,1.22385,1.50987,1.32693,0.4466,0.4015,0.40597,0.23142,1.39224,1.58352,1.46134,0.0401457,0.00662611,0.00662611
3,299.335,1.26142,1.38915,1.35319,0.28807,0.27867,0.23301,0.12215,1.63813,2.96194,1.75173,0.0101017,0.0099155,0.0099155
4,393.991,1.34813,1.46478,1.42992,0.42092,0.35459,0.30701,0.17524,1.49869,2.2119,1.51784,0.009901,0.009901,0.009901
5,489.427,1.30482,1.31199,1.39452,0.31051,0.37981,0.28158,0.15062,1.49349,1.9673,1.56712,0.009868,0.009868,0.009868
6,584.008,1.23903,1.16738,1.34702,0.3187,0.298,0.2785,0.16395,1.3655,2.15883,1.50354,0.009835,0.009835,0.009835
7,678.155,1.21146,1.10278,1.32248,0.40212,0.37016,0.38223,0.2265,1.36723,1.64652,1.4535,0.009802,0.009802,0.009802
8,773.574,1.17633,1.03199,1.3037,0.32869,0.43634,0.35423,0.20507,1.4609,1.62174,1.53721,0.009769,0.009769,0.009769
9,869.183,1.15999,0.99335,1.28866,0.23365,0.37489,0.26401,0.15322,1.34995,1.87037,1.44628,0.009736,0.009736,0.009736
10,964.155,1.13523,0.9369,1.27167,0.38717,0.34996,0.33993,0.18845,1.36704,1.63126,1.43139,0.009703,0.009703,0.009703
11,1058.91,1.11862,0.90303,1.26161,0.46058,0.29816,0.35694,0.23267,1.27718,1.33159,1.37593,0.00967,0.00967,0.00967
12,1153.23,1.09457,0.87252,1.24763,0.41273,0.33922,0.3738,0.2273,1.4378,1.65298,1.52487,0.009637,0.009637,0.009637
13,1248.08,1.08315,0.84624,1.23802,0.4566,0.39964,0.4146,0.26402,1.26258,1.3056,1.35431,0.009604,0.009604,0.009604
